"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.183,0.088,0.04,0.023,0.011,0.007,0.003
"HPD lower",0.106,0.047,0.025,0.015,0.007,0.005,0.002
"HPD upper",0.288,0.157,0.067,0.035,0.018,0.01,0.005
"Proportion",0.515,0.248,0.113,0.065,0.031,0.02,0.008
"T12",-0.374,-0.355,0.461,-0.136,-0.077,0.64,0.296
"T13",-0.459,-0.375,0.417,0.162,0.043,-0.599,-0.297
"T21",0.086,0.149,0.229,0.323,0.755,-0.097,0.484
"T23",0.206,-0.533,-0.282,0.74,-0.139,0.162,0.016
"T31",0.095,0.096,0.163,0.108,0.421,0.42,-0.768
"T32",0.178,-0.632,-0.32,-0.531,0.424,-0.074,-0.008
"area.F",-0.748,0.139,-0.593,0.097,0.215,0.117,-0.005
